paper,year,# citations
ParamILS (Hutter et  al. 09),2008,2
ParamILS (Hutter et  al. 09),2009,11
ParamILS (Hutter et  al. 09),2010,28
ParamILS (Hutter et  al. 09),2011,58
ParamILS (Hutter et  al. 09),2012,55
ParamILS (Hutter et  al. 09),2013,79
ParamILS (Hutter et  al. 09),2014,91
ParamILS (Hutter et  al. 09),2015,90
SMAC(Hutter et al. 11),2010,1
SMAC(Hutter et al. 11),2011,5
SMAC(Hutter et al. 11),2012,15
SMAC(Hutter et al. 11),2013,40
SMAC(Hutter et al. 11),2014,65
SMAC(Hutter et al. 11),2015,114
I/F-Race(Balaprakash et al. 07),2007,4
I/F-Race(Balaprakash et al. 07),2008,5
I/F-Race(Balaprakash et al. 07),2009,17
I/F-Race(Balaprakash et al. 07),2010,15
I/F-Race(Balaprakash et al. 07),2011,20
I/F-Race(Balaprakash et al. 07),2012,9
I/F-Race(Balaprakash et al. 07),2013,31
I/F-Race(Balaprakash et al. 07),2014,32
I/F-Race(Balaprakash et al. 07),2015,21
GCA(Ansotegui et al. 09),2008,1
GCA(Ansotegui et al. 09),2009,4
GCA(Ansotegui et al. 09),2010,12
GCA(Ansotegui et al. 09),2011,17
GCA(Ansotegui et al. 09),2012,12
GCA(Ansotegui et al. 09),2013,29
GCA(Ansotegui et al. 09),2014,37
GCA(Ansotegui et al. 09),2015,36
