Type of publication,year,# of publications
Conference,2002,1
Conference,2003,2
Journal,2004,2
Conference,2004,1
Conference,2005,1
Conference,2006,1
Workshop,2007,1
Conference,2007,3
Journal,2008,1
Workshop,2009,1
Conference,2009,1
Journal,2009,1
Journal,2010,1
Conference,2010,2
Conference,2011,1
Workshop,2011,2
Conference,2012,2
Conference,2013,4
Workshop,2013,3
Journal,2014,2
Conference,2014,4
Workshop,2014,3
Journal,2015,5
Conference,2015,9
Workshop,2015,2
Bookchapter,2016,20
Workshop,2016,3
